question_text,question_topic
Do you know what the temperature rating is for the Dollhouse Wool Coat? It's style # Heather Peacoat 8002.,Product Specifications
Do you know if the the Pierce Blue Throw Blanket (LOON4859) has any wool in it? Im allergic to most wools.,Product Specifications
"Do you have anything like the Greenworks electric pressure washer (623643), but in a smaller size? This may too much for me to handle.",Product Availability
Do you know how much cholesterol the Syntrax whey protein isolate has? It's # 893912123970.,Product Specifications
"Do you sell any simple women's beanie hats? I just want something really plain, in black or gray. I'm really not looking to spend more than like $15.",Product Availability
Do you know how much cholesterol the Animal Whey has?,Product Specifications
"These flexible locking skewers, SKU: 1074848, look exactly like what Im looking for. However, do you have any wooden skewers? Sometimes I just want to throw the mess away instead of having to wash them.",Product Availability
Could you tell me if you have any honey or sweet smelling fragrance mists I could see?,Product Availability
Do you know what the temperature rating is for the Hiking Boots (63670)?,Product Specifications
I'm looking for a pair of women's leather gloves. Do you have any in a small?,Product Availability
Do you know what the temperature rating is for the wool-blend peacoat (688853)?,Product Specifications
"I really like the size and design of the Realspace bookcase, it's #547938. However, I need more shelves. Do you have something that is similar to this piece, but with more sections on it?",Product Availability
I'm looking for a pair of men's leather gloves. Do you have any in a small?,Product Availability
"Does your Accrington location in Hyndburn have the heathered jumper (item T386915) on your website right now, size large? Can I have this sent to that shop so I can see it before I buy it in person?",Omnichannel
Do your stores usually have a cologne and perfume department like the one on your site? Would I be able to order items from your website and ship them to an Abercrombie store so I could pick them up there?,Omnichannel
"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the oversized hoodie, product 954691, and having it sent to me in Brixton, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
"This amazing grace spritz looks really nice! However, if I were to have that sent to my condo in clarksville, TN (Zip: 37040), could you have your delivery people leave it with my neighbor? I'm usually gone during the day because of work. And do you know how much it would cost to ship that product to my place?",Shipping
I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a women's fragrances like your website?,Omnichannel
I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a women's fragrances like your website?,Omnichannel
"I want to possibly purchase protein powder but am unsure what kind I want. Do you usually have a wide selection of protein powders on display in your stores? Are there any GNC stores near New Salem, ND?",Omnichannel
"Could you let me know if your store on Tysons Corner Center in McLean, VA is open on Mondays? I know some places aren't at the start of the week there. Also, what's the main number to that store? I'd like to speak to someone there in person.",Omnichannel
"When do you think I'd receive the Item: SW940 if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a women's fragrances like your website?,Omnichannel
"I know you have a store on Meadow Lane in Pewaukee, WI. Do you happen to know what time that place opens on Tuesdays? And also, could you tell me if that location has 212878 in stock right now?",Omnichannel
"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the crystal brle stone stretch bracelet, product B129MU, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
"When do you think I'd receive the SKU #: 089836185259 if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
"I have a couple of questions. First of all, do you have any stores within 20 miles or so of Quakertown, PA (Zip: 18951)? And then secondly, could I return an item bought online at that store, or do you only accept those types of returns over the mail?",Omnichannel
"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the clip 2 wireless speaker, product JBLCLIP2BLKAM, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the jessica simpson calie, product 7858511, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
"When do you think I'd receive the Now turmeric & Bromelain if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
"I want to possibly purchase protein powder but am unsure what kind I want. Do you usually have a wide selection of protein powders on display in your stores? Are there any Vitamin Shoppe stores near New Salem, ND?",Omnichannel
"Could you tell me if there's a Barnes and Noble anywhere near Omaha, Nebraska? Do your stores have special sales or would they be the same sales as your website?",Omnichannel
"Does your University Village location in Seattle, WA have the run for cold jacket on your website right now, size 2? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a women's fragrances like your website?,Omnichannel
I'm going to be making a trip to my local Abercrombie store in the coming days and was just wondering if your stores offer a layaway program?,Omnichannel
"I might like to get this Raybestos lug nut set (sp32338), and I would need it within six business days. What's the cheapest shipping option that would get it to me with plenty of time? I live in Frederick, MD (Zip: 21701). And second, could I leave instructions so that the delivery driver leaves the package at the front office of my apartment complex instead of my door?",Shipping
"Does your west Towne Mall location in Madison, WI 53719 have the patchwork bag (item 58159) on your website right now? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
"Does your SoHo location in New York, NY 10012 have the XL oval link necklace (item CH0287 S8) on your website right now? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
"When do you think I'd receive the Now Foods turmeric & bromelain code:NOW-03110 if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a beauty section like your website?,Omnichannel
"I really like this Breville tea maker you have available online. Is it available for the same price at your store on West Market in Bloomington, MN, however? Also, are there any other locations within 5 to 10 miles of that store?",Omnichannel
"I want to get the Valentino earrings #646146 but would like to assure I'll be home when it's delivered. Could I require a signature upon delivery so if it is in fact delivered when I'm out, it will be kept at the post office? When would the estimated delivery date be if the earrings are being sent to Boston, MA?",Shipping
"Is there a way to sign up for delivery alerts via text? I'm going to be ordering a spare ecig battery, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
"When do you think I'd receive the Puritan's Pride turmeric #051441 if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a women's fragrances like your website?,Omnichannel
"Does your bridge street town centre location in Huntsville, AL 35806 have the cameron street byrdie (item pxru6912) on your website right now? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
"I was wondering if you'd be able to overnight the Furinno computer desk ASIN:B003VP5Y4I to me in Trenton, NJ? If I settle for standard shipping, when would I receive this?",Shipping
"I really like this Krups tea kettle (3018728) you have available online. Is it available for the same price at your store on Old Orchard Center in Skokie, IL , however? Also, are there any other locations within 5 to 10 miles of that store?",Omnichannel
"I have a couple of questions. First of all, do you have any stores within 20 miles or so of Quakertown, PA (Zip: 18951)? And then secondly, could I return an item bought online at that store, or do you only accept those types of returns over the mail?",Omnichannel
I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a Home section like your website?,Omnichannel
"I have a couple of questions. First of all, do you have any stores within 20 miles or so of Quakertown, PA (Zip: 18951)? And then secondly, could I return an item bought online at that store, or do you only accept those types of returns over the mail?",Omnichannel
"Does your location in SILVERTHORNE, CO 80498 have the red puffy vest (item 241095) on your website right now, size L? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
"Could you let me know if your store on N. Pointe Blvd in Statesville, NC is open on Mondays? I know some places aren't at the start of the week there. Also, what's the main number to that store? I'd like to speak to someone there in person.",Omnichannel
"I was wondering if you'd be able to overnight the Corner Laptop Writing Desk with Optional Hutch to me in Trenton, NJ? If I settle for standard shipping, when would I receive this?",Shipping
"Does your Town Center Plaza location in Midwest City, OK 73110 have the jacquard sweater (item 239077) on your website right now, size 26/28? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the not rated moonwalkin, product 8796977, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
"I was wondering if you'd be able to overnight this sweater 8781A to me in Trenton, NJ? Do you provide tracking info with all your orders?",Shipping
"When do you think I'd receive the LuckyHerbs turmeric extract #131292 if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
"Where's the closest Victoria's Secret in relation to Gainesville, FL? Do your stores have a lot of fragrances and body sprays I'd be able to check out?",Omnichannel
"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the basket of blooms, product 105644, and having it delivered to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
"I have a couple of questions. First of all, do you have any stores within 20 miles or so of Quakertown, PA (Zip: 18951)? And then secondly, could I return an item bought online at that store, or do you only accept those types of returns over the mail?",Omnichannel
I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a toys section like your website?,Omnichannel
I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a women's fragrances like your website?,Omnichannel
"I'd like to get this patio lounger (MCRR5985), and it wouldn't be in any sort of rush. Is there a free or really cheap shipping option if time is not really a factor? And then also, would there need to be someone to sign for the package, or can it just be left at my door?",Shipping
"Could you let me know if your store on Ponce De Leon in Atlanta, GA is open on Mondays? I know some places aren't at the start of the week there. Also, what's the main number to that store? I'd like to speak to someone there in person.",Omnichannel
"This polish 3614270303814 looks really nice! However, if I were to have that sent to my condo in clarksville, TN 37040, could you have your delivery people leave it with my neighbor? I'm usually gone during the day because of work. And do you know how much it would cost to ship that product to my place?",Shipping
I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a Home section like your website?,Omnichannel
Do you know if I'd be able to reserve items on your website to be picked up at my local Hollister store?,Omnichannel
Do you know offhand if there are liner layer that can be removed and washed in the padded coat (item 734919) or the oversized coat (item 893578)? Do these have an interior breastpocket at all? I like storing my gloves in there.,Product Comparison
Does the Cotton Blend Faux Fur Parka (item T166477M) have a liner layer in it? How many pockets total are on this?,Product Specifications
I might order the shine romper (137060). Could you tell me what kind of material this is made of? I can't tell from the picture but is there a zipper on the back of this?,Product Specifications
"I have the older model of this panini press, SKU: 648584, and I really love it! Is this model any larger, by chance? Also, are the plates cast iron or aluminum? I find aluminum is easier to clean.",Product Specifications
"I was checking out this one wood frame loveseat, Item: 3039943. Is it constructed of solid hardwood, by chance? Also, how tall does this sit? I dont want it to block my window.",Product Specifications
"Do you know what the temperature rating is for this peacoat, style #114206246? What materials compose this coat?",Product Specifications
Does the hooded technical jacket item 126579 have a liner layer in it? How many pockets total are on this?,Product Specifications
"I was checking out this one bathroom vanity, Model # BF90225, I saw on your site, and it's beautiful! Is the mirror included, by chance? Also, how tall is it?",Product Specifications
"Do you know what the temperature rating is for this fleece peacoat, Item #: TA295940? What materials compose this coat?",Product Specifications
"Do you know if this chocolate whey protein powder, ITEM # : VS-2269/1565605, is gluten free? How many grams of fat are in each serving?",Product Specifications
"Does this utility jacket, item #242165, have a liner layer in it? How many pockets total are on this?",Product Specifications
"I was checking out this one bathroom vanity, Item # 666579, I saw on your site, and it's beautiful! Is the mirror included, by chance? Also, how tall is it?",Product Specifications
"I'm looking to get either of these two robes, Item #16453 or Item #176WV, but wanted to know what the difference in length was between the two in a medium size? Would I be able to machine-wash either of these?",Product Comparison
"What are the thicknesses on the chains of these long pendant necklaces, style N104G and style N336? I'm also wondering if you can give me a measurement on how large the pendents are?",Product Comparison
"Do you know what the temperature rating is for this cotton-blend peacoat, Style code: 0400090945212? What materials compose this coat?",Product Specifications
"Are you able to tell me what the difference is between these wireless headphones, item UAJBLWIRELESSB, and these wireless sport headphones, item UAJBLIEBTBLK, is? Do these come with different earbud cap sizes, so I can tailor the fit to my ears?",Product Comparison
"I have the older model of this one panini press, Item: 5-2268175, and I really love it! Is this model any larger, by chance? Also, are the plates cast iron or aluminum? I find aluminum is easier to clean.",Product Specifications
"I'm looking for something in the realm of these monk strap dress shoes, SKU 8846743 and SKU 8846718 specifically. Are the straps on these functional or just for show? What type of leather are these made of?",Product Comparison
"Would you please be able to tell me what's all included with these kosher sweets and fruits baskets: product 149661 and product 149689? Do they come assembled and arranged, or will I have to do that after I get them?",Product Comparison
"Im looking for a face primer that can absorb extra oil. Does either of these primers, #3605533145852 or #3605533253663, do that? I would also like one that can minimize pores. Do you know if either one does that, as well?",Product Comparison
Do you know what the temperature rating is for this double-breasted wool blend peacoat #2515869? What materials compose this coat?,Product Specifications
"What's the thickness of the band on this ring, style R12818 88BTQ? And how large are those turquois balls?",Product Specifications
How long is the short battery going to last vs. the long battery? Are they both compatible with the same charging equipment?,Product Comparison
"Which TV has more HDMI ports- this 49"" Sony TV or this 49"" Samsung TV? Do you know which has a longer power cord?",Product Comparison
"I'm looking at ordering either these chocolate peanut butter bars, Product Code: UNN-08139, or these peanut butter white chocolate bars, Product Code: MMX-20184, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
"What are the actual dimensions of the Samsung Galaxy Tab S2 NOOK? Also, do you know about how many books and/or movies I'd be able to store on here?",Product Specifications
"Do you know what the temperature rating is for this double-breasted peacoat, Web ID: 2788978? What materials compose this coat?",Product Specifications
"This full panel headboard, SKU: TH3879, is beautiful, but I see its not made of solid hardwood. Is this headboard, SKU: TH4268, also a mix of woods? Are either of these pieces made with any type of metal support in them?",Product Comparison
"Im looking for a face primer that can absorb extra oil. Does either the Matte Perfecting Primer or the Illuminating Perfecting Primer do that? I would also like one that can minimize pores. Do you know if either one does that, as well?",Product Comparison
"I was checking out this one love seat, Item Number: 193469. Is it constructed of solid hardwood, by chance? Also, how tall does this sit? I dont want it to block my window.",Product Specifications
"I was checking out this one loveseat, Item: 2825956. Is it constructed of solid hardwood, by chance? Also, how tall does this sit? I dont want it to block my window.",Product Specifications
"I'm looking at ordering either these almond fudge brownie protein bars, Item: ISS003, or these chocolate fudge protein bars, Item: THP004, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
"I'm looking for something in the realm of these monk strap dress shoes, SKU: #8846420 or SKU: #8615864. Are the straps on these functional or just for show? What type of leather are these made of?",Product Comparison
Which TV has more HDMI ports- ASIN: B01IPHDNB2 or ASIN: B00NVS9FYA? Do you know which has a longer power cord?,Product Comparison
"I'm looking at ordering either these Supreme Protein Bars in peanut butter & jelly or the Quest Bars, also in peanut butter & jelly, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
"Do you know what the temperature rating is for this grayback peacoat, Item #480994A86? What materials compose this coat?",Product Specifications
"Could you tell me what kind of material this high-neck bodysuit, AJ-360-185, is composed of? What's the best way to wash this?",Product Specifications
"I'm looking at ordering either these chocolate chip protein bars, Item #: 155071, or these sea salt protein bars, Item #: 148246, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
"I'm looking at ordering either these chocolate peanut butter protein bars, Item #057567, or these protein bars also in chocolate peanut butter, Item #024608, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
"How long of a battery life does this touch screen laptop, Item # 403320, have? Also, does it have multiple USB ports, or just one? It seems like computers these days have limited USBs, which I find a little annoying.",Product Specifications
"I might order this wrap front romper, WEB ITEM: 147686. Could you tell me what kind of material this is made of? I can't tell from the picture but is there a zipper on the back of this?",Product Specifications
"Do you know if this gourmet chocolate whey protein powder, item #360000 is gluten free? How many grams of fat are in each serving?",Product Specifications
"I'm looking at ordering either these chocolate peanut butter protein bars, SKU #: 888849000463, or these protein bars, SKU #: 749826125527, also in chocolate peanut butter, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
"Is this multi-rejuvenating cream, ITEM 1737865, a cream I should be using at night? I also am very sensitive to fragrances, so does this product have any fragrances in it?",Product Specifications
"How long of a battery life does this HP laptop, Item: 2274700, have? Also, does it have multiple USB ports, or just one? It seems like computers these days have limited USBs, which I find a little annoying.",Product Specifications
I think I have it narrowed down between these air compressors: Item # mpn2625953548 and Item # mpn2472496. Whats the max pressure on each of those? And do both of them come with a regulator?,Product Comparison
"Do you know what the temperature rating is for this peacoat, ITEM# 783N? What materials compose this coat?",Product Specifications
"I was checking out this one upholstered loveseat, Item: 7728702. Is it constructed of solid hardwood, by chance? Also, how tall does this sit? I dont want it to block my window.",Product Specifications
"Does this puffer coat, ITEM #239241, have a liner layer in it? How many pockets total are on this?",Product Specifications
"I'm looking to get either this striped satin-twill dress in a size US6, Product Code: 802943, or this washed denim shirt dress in a size FR38, Product Code: 812168, but wanted to know what the difference in length was between the two? Would I be able to machine-wash either of these?",Product Comparison
"Do you know what the temperature rating is for this peacoat, Item #1119467? What materials compose this coat?",Product Specifications
"For this short sleeve crew, SKU# 3713185, is there any elastic material in the blend? Does this come with a tearaway tag? I hate tags on my workout attire and I just want to make sure it won't be a huge pain to remove.",Product Specifications
"Do you know what the temperature rating is for this wool-blend peacoat, Online Inquiries: NMF17_TCVDU? What materials compose this coat?",Product Specifications
"Do you know what the temperature rating is for this Italian cashmere peacoat, item E1199? What materials compose this coat?",Product Specifications
Is the strap on this wristlet style no. 55716 fully removeable? How many total interior pockets will this include?,Product Specifications
"Is the strap on this Emerson bag, style # pxru7285, fully removeable? How many total interior pockets will this include?",Product Specifications
"For product returns on something like the crew sweatshirt size M (148590), do I get some sort of notification when you guys get it back and start the refund?",Returns & Refunds
"I have a question for you. If I order the fur-trimmed bomber (code 884942) and my package is stolen, do you provide a replacement or will I have to go through the delivery provider for that? There have been a rash of package thefts in my neighbourhood this winter and unfortunately, I'm not home during the day to watch out for this.",Returns & Refunds
"I have a question for you. If I order the Cotton Blend V-Neck Cardigan (code T307012M ) and my package is stolen, do you provide a replacement or will I have to go through the delivery provider for that? There have been a rash of package thefts in my neighbourhood this winter and unfortunately, I'm not home during the day to watch out for this.",Returns & Refunds
"I think I am going to purchase a duffel bag (Item #185KK but if I don't like it upon receiving it, would I be able to return for a full refund?",Returns & Refunds
"I have a question for you. If I order the circle pendant necklace (code N437S) and my package is stolen, do you provide a replacement or will I have to go through the delivery provider for that? There have been a rash of package thefts in my neighborhood this winter and unfortuantely, I'm not home during the day to watch out for this.",Returns & Refunds
"I think I am going to purchase a duffel bag (tem #: TA155536) but if I don't like it upon receiving it, would I be able to return for a full refund?",Returns & Refunds
"I have a question for you. If I order the express kit and my package is stolen, do you provide a replacement or will I have to go through the delivery provider for that? There have been a rash of package thefts in my neighborhood this winter and unfortuantely, I'm not home during the day to watch out for this.",Returns & Refunds
"I think I am going to purchase a duffel bag (ITEM# UL00186) but if I don't like it upon receiving it, would I be able to return for a full refund?",Returns & Refunds
"I have a question for you. If I order the confetti narrow cuff bracelet (code B12134DSSADI) and my package is stolen, do you provide a replacement or will I have to go through the delivery provider for that? There have been a rash of package thefts in my neighborhood this winter and unfortuantely, I'm not home during the day to watch out for this.",Returns & Refunds
"I think I'm going to get a protein powder (Product Code: MSF-99081) but if I don't like the flavor after trying it, would I be able to return for a different flavor?",Returns & Refunds
"I have a question for you. If I order the open-back workout shirt (code 461369) and my package is stolen, do you provide a replacement or will I have to go through the delivery provider for that? There have been a rash of package thefts in my neighborhood this winter and unfortuantely, I'm not home during the day to watch out for this.",Returns & Refunds
"I think I am going to purchase a duffel bag (Item #476516A80) but if I don't like it upon receiving it, would I be able to return for a full refund?",Returns & Refunds
